ID,Discipline,Subdiscipline,Name,Formula,Role,Domain,Description,Derivation,Working Example,Negation/Failure,Source,Status,Assumptions
EQ-0072,Biology & Biochemistry,General,Hill Equation,θ = [L]^n / (K_d^n + [L]^n),Empirical / phenomenological relation,"Describes cooperative ligand binding where the binding curve is sigmoidal rather than hyperbolic. The Hill coefficient n measures cooperativity: n > 1 is positive cooperativity (binding to one site facilitates binding to others), n = 1 reduces to Michaelis-Menten, n < 1 is negative cooperativity.","Describes cooperative ligand binding where the binding curve is sigmoidal rather than hyperbolic. The Hill coefficient n measures cooperativity: n > 1 is positive cooperativity (binding to one site facilitates binding to others), n = 1 reduces to Michaelis-Menten, n < 1 is negative cooperativity.","Hill assumed n ligands bind simultaneously: P + nL ⇌ PL_n with K_d = [P][L]^n/[PL_n]. Fractional saturation: θ = [PL_n]/([P]+[PL_n]) = [L]^n/(K_d^n + [L]^n). This is a phenomenological model — real binding is sequential, not simultaneous — but n captures the steepness of the binding curve and provides a useful empirical summary of cooperativity.","Hemoglobin oxygen binding: n = 2.8, K_d corresponds to P₅₀ = 26 mmHg. At P_O₂ = 100 mmHg (lungs): θ = 100^2.8/(26^2.8 + 100^2.8) = 0.975 (97.5% saturated). At P_O₂ = 40 mmHg (tissues): θ = 40^2.8/(26^2.8 + 40^2.8) = 0.75 (75%). The steep curve enables efficient O₂ delivery.","With n = 1 (no cooperativity, Michaelis-Menten): at 100 mmHg θ = 100/126 = 79%, at 40 mmHg θ = 40/66 = 61%. The difference is only 18% vs 22.5% for cooperative binding. Without cooperativity, hemoglobin would deliver 35% less oxygen to tissues per pass through circulation, which would be insufficient for aerobic metabolism.","Hill, J. Physiol. (1910)",consensus,See negation section for detailed failure modes
EQ-0073,Mathematics,General,Euler's Identity,e^(iπ) + 1 = 0,Deterministic dynamical system,"Connects five fundamental mathematical constants (e, i, π, 1, 0) in a single equation. It is a special case of Euler's formula e^(ix) = cos x + i sin x at x = π.","Connects five fundamental mathematical constants (e, i, π, 1, 0) in a single equation. It is a special case of Euler's formula e^(ix) = cos x + i sin x at x = π. Often called the most beautiful equation in mathematics, it bridges exponential, trigonometric, and complex analysis.",Euler's formula: from the Taylor series: e^(ix) = Σ (ix)^n/n! = (1 − x²/2! + x⁴/4! − ...) + i(x − x³/3! + x⁵/5! − ...) = cos x + i sin x. Substituting x = π: e^(iπ) = cos π + i sin π = −1 + 0 = −1. Therefore e^(iπ) + 1 = 0.,Verify numerically: e^(iπ) = e^(3.14159i). Using the series to 10 terms: cos(3.14159) = −0.99999999... and sin(3.14159) = 0.00000265... ≈ 0. So e^(iπ) = −1.000 + 0.000i. Adding 1: e^(iπ) + 1 = 0.000.,"Euler's Identity is an exact mathematical truth, not an empirical law, so it cannot 'fail.' However, its derivation depends on: (1) the standard definition of exponentiation for complex numbers, (2) the convergence of Taylor series, and (3) the Archimedean property of real numbers. In non-standard analysis or p-adic number systems, the analogs of e, π, and i have different relationships.","Euler, Introductio in analysin infinitorum (1748)",consensus,See negation section for detailed failure modes
EQ-0074,Mathematics,General,Fundamental Theorem of Calculus,∫_a^b f(x)dx = F(b) − F(a),Deterministic dynamical system,Links differentiation and integration as inverse operations. The definite integral of a function equals its antiderivative evaluated at the bounds.,"Links differentiation and integration as inverse operations. The definite integral of a function equals its antiderivative evaluated at the bounds. This is the most important theorem in calculus, enabling the analytical computation of areas, volumes, and accumulated quantities.","Part 1: Define F(x) = ∫_a^x f(t)dt. By the definition of the derivative: F'(x) = lim_{h→0} [F(x+h)−F(x)]/h = lim_{h→0} (1/h)∫_x^{x+h} f(t)dt. By the Mean Value Theorem for integrals, this equals f(c) for some c ∈ [x, x+h]. As h → 0, c → x, so F'(x) = f(x). Part 2: If G is any antiderivative of f (G' = f), then G = F + C. So ∫_a^b f(x)dx = F(b) − F(a) = G(b) − G(a).",Compute ∫₀³ x² dx. Antiderivative: F(x) = x³/3. F(3) − F(0) = 27/3 − 0 = 9. Verification by Riemann sum with n = 1000: Σ_{i=1}^{1000} (3i/1000)² × (3/1000) = 9.000013 ≈ 9.,"The theorem requires f to be Riemann-integrable. Pathological functions like: (1) f(x) = 1/√x on [0,1] (improper integral — the theorem extends to improper integrals but requires care). (2) The Dirichlet function (1 on rationals, 0 on irrationals) is not Riemann-integrable, so the FTC does not apply (though it is Lebesgue-integrable with integral 0). (3) F may not be differentiable everywhere — the Cantor function is continuous and F' = 0 a.e., yet F(1)−F(0) = 1 ≠ ∫₀¹ 0 dx.",Newton (1669); Leibniz (1693),consensus,See negation section for detailed failure modes
EQ-0075,Mathematics,General,Bayes' Theorem,P(A|B) = P(B|A)P(A)/P(B),Statistical model,Updates the probability of a hypothesis given new evidence. It inverts conditional probabilities: from P(evidence|hypothesis) to P(hypothesis|evidence).,"Updates the probability of a hypothesis given new evidence. It inverts conditional probabilities: from P(evidence|hypothesis) to P(hypothesis|evidence). It is the foundation of Bayesian statistics, machine learning, medical diagnosis, and spam filtering.",From the definition of conditional probability: P(A|B) = P(A∩B)/P(B) and P(B|A) = P(A∩B)/P(A). From the second: P(A∩B) = P(B|A)P(A). Substituting into the first: P(A|B) = P(B|A)P(A)/P(B). For total probability: P(B) = P(B|A)P(A) + P(B|A')P(A').,"Medical screening: disease prevalence P(D) = 0.01 (1%). Test sensitivity P(+|D) = 0.95, false positive rate P(+|D') = 0.05. P(D|+) = (0.95)(0.01)/[(0.95)(0.01) + (0.05)(0.99)] = 0.0095/0.0590 = 0.161 = 16.1%. Despite 95% test accuracy, a positive result only means 16% chance of disease — the base rate fallacy.","Bayes' theorem is mathematically exact but can be misapplied: (1) Wrong priors — if P(D) is set to 0 (dogmatic prior), no amount of evidence can change the posterior. (2) Assuming independence when events are correlated — the 'naive' in Naive Bayes assumes feature independence, which fails for correlated features (e.g., word co-occurrences in spam filtering). (3) Confusion of P(A|B) with P(B|A) — the 'prosecutor's fallacy' (P(evidence|innocent) ≠ P(innocent|evidence)).","Bayes, Phil. Trans. R. Soc. (1763)",consensus,correlated features (e.
EQ-0076,Mathematics,General,Fourier Transform,F(ω) = ∫ f(t) e^(−iωt) dt,Deterministic dynamical system,"Decomposes a time-domain signal into its constituent frequencies. It is arguably the most important mathematical tool in physics, engineering, and signal processing, enabling spectral analysis, filtering, image compression (JPEG), and solving differential equations.","Decomposes a time-domain signal into its constituent frequencies. It is arguably the most important mathematical tool in physics, engineering, and signal processing, enabling spectral analysis, filtering, image compression (JPEG), and solving differential equations.","Start with the Fourier series for a periodic function of period T: f(t) = Σ c_n e^(inω₀t) where c_n = (1/T)∫ f(t)e^(−inω₀t)dt. As T → ∞ (non-periodic functions), the discrete frequencies nω₀ become continuous ω, the sum becomes an integral, and c_n → F(ω)dω/(2π). The result is the Fourier transform pair: F(ω) = ∫ f(t)e^(−iωt)dt and the inverse f(t) = (1/2π)∫ F(ω)e^(iωt)dω.",A Gaussian pulse f(t) = e^(−t²/2σ²): F(ω) = σ√(2π) e^(−σ²ω²/2). For σ = 1 ms: the frequency spectrum is also a Gaussian centered at ω = 0 with width Δω = 1/σ = 1000 rad/s. Narrow time pulse → broad frequency spectrum (uncertainty principle).,"The Fourier transform has limitations: (1) It assumes stationarity — for signals whose frequency content changes over time (speech, music), the short-time Fourier transform or wavelet transform is needed. (2) It does not exist for functions that grow without bound (e.g., f(t) = t) — the Laplace transform handles such functions. (3) Discrete sampling introduces aliasing if the sampling theorem is violated (frequencies above f_s/2 are misidentified).","Fourier, Théorie analytique de la chaleur (1822)",consensus,(frequencies above f_s/2 are misidentified).
EQ-0077,Mathematics,General,Central Limit Theorem,"(̄X − μ)/(σ/√n) → N(0,1)",Statistical model,The sampling distribution of the mean of any i.i.,"The sampling distribution of the mean of any i.i.d. random variables with finite variance approaches a normal distribution as the sample size increases, regardless of the underlying population distribution. This is why the normal distribution is ubiquitous in statistics and nature.","Use characteristic functions: φ_X(t) = E[e^(itX)]. For the standardized sum Z_n = (ΣX_i − nμ)/(σ√n): φ_{Z_n}(t) = [φ_{(X-μ)/σ}(t/√n)]^n. Expand the characteristic function: φ_{(X-μ)/σ}(t/√n) = 1 − t²/(2n) + o(1/n). Then φ_{Z_n}(t) = [1 − t²/(2n)]^n → e^(−t²/2) as n→∞, which is the characteristic function of N(0,1). By Lévy's continuity theorem, Z_n → N(0,1).","Roll a fair die (uniform on {1,...,6}, μ = 3.5, σ = 1.708). For n = 30 rolls, the sample mean has distribution approximately N(3.5, 1.708/√30) = N(3.5, 0.312). P(̄X > 4) = P(Z > (4−3.5)/0.312) = P(Z > 1.60) = 0.055 (5.5%). Despite the original uniform distribution, the sample mean is well-approximated by a Gaussian.","The CLT fails when: (1) Variance is infinite — Cauchy-distributed variables (σ = ∞) have a sample mean that is also Cauchy, never converging to normal. Financial returns exhibit 'fat tails' where the CLT converges very slowly (if at all). (2) Variables are not independent — correlated observations (time series, spatial data) require modified CLT versions. (3) The sample size is too small for highly skewed distributions — n = 5 is insufficient for exponential data; n > 40 may be needed.",Laplace (1810); Lindeberg (1922),consensus,"(1) Variance is infinite — Cauchy-distributed variables (σ = ∞) have a sample mean that is also Cauchy, never converging to normal."
EQ-0078,Mathematics,General,Pythagorean Theorem,a² + b² = c²,Deterministic dynamical system,"The sum of squares of the two legs of a right triangle equals the square of the hypotenuse. This is arguably the most fundamental theorem in geometry, with applications spanning surveying, navigation, physics, and computer graphics.","The sum of squares of the two legs of a right triangle equals the square of the hypotenuse. This is arguably the most fundamental theorem in geometry, with applications spanning surveying, navigation, physics, and computer graphics.","Proof by rearrangement (one of over 400 known proofs): construct a large square of side (a+b). Arrange four copies of the right triangle inside it, forming an inner tilted square of side c. Area of outer square: (a+b)² = a² + 2ab + b². Area also equals: inner square + four triangles = c² + 4(½ab) = c² + 2ab. Therefore a² + 2ab + b² = c² + 2ab, giving a² + b² = c².","Right triangle with legs a = 3, b = 4: c = √(9 + 16) = √25 = 5. Distance from origin to point (5, 12): d = √(25 + 144) = √169 = 13.","The theorem fails on curved surfaces. On a sphere of radius R, a right triangle with legs a, b has hypotenuse c satisfying cos(c/R) = cos(a/R)cos(b/R) (spherical law of cosines). For a = b = πR/4 (quarter-circumference): cos(c/R) = cos²(π/4) = 1/2, giving c = Rπ/3. Euclidean prediction: c = πR√2/4 ≈ 1.11R. Spherical result: c = 1.047R. The 6% discrepancy is measurable for large-scale geodesy.","Euclid, Elements (c. 300 BCE)",consensus,on curved surfaces.
EQ-0079,Mathematics,General,Taylor Series,f(x) = Σ f^(n)(a)(x−a)^n / n!,Deterministic dynamical system,"Represents any smooth function as an infinite sum of polynomial terms about a point. It is the most important approximation tool in mathematics and physics, enabling linearization, numerical methods, and perturbation theory.","Represents any smooth function as an infinite sum of polynomial terms about a point. It is the most important approximation tool in mathematics and physics, enabling linearization, numerical methods, and perturbation theory.","Define R_n(x) = f(x) − Σ_{k=0}^{n} f^(k)(a)(x−a)^k/k!. By repeated integration by parts (or the Mean Value Theorem generalization): R_n(x) = (1/n!)∫_a^x (x−t)^n f^(n+1)(t)dt. If f^(n+1) is bounded, R_n → 0 as n → ∞, and the series converges to f(x).",Approximate e^0.1 using Taylor series about a = 0: e^x = 1 + x + x²/2 + x³/6 + ... For x = 0.1: e^0.1 ≈ 1 + 0.1 + 0.005 + 0.000167 = 1.10517. Exact value: 1.10517... The 4-term approximation is accurate to 6 decimal places.,"Taylor series fails when: (1) The function is not analytic — f(x) = e^(−1/x²) for x ≠ 0 (f(0) = 0) has all derivatives equal to zero at x = 0, so the Taylor series is identically 0, but f(x) > 0 everywhere else. (2) Outside the radius of convergence — 1/(1+x²) has Taylor series that diverges for |x| > 1 because of complex poles at x = ±i.","Taylor, Methodus Incrementorum (1715)",consensus,"(1) The function is not analytic — f(x) = e^(−1/x²) for x ≠ 0 (f(0) = 0) has all derivatives equal to zero at x = 0, so the Taylor series is identically 0, but f(x) > 0 everywhere else."
EQ-0080,Mathematics,General,Laplace Transform,F(s) = ∫₀^∞ f(t)e^(−st) dt,Deterministic dynamical system,"Converts a time-domain function into the complex frequency domain, transforming differential equations into algebraic equations. It is the primary tool for analyzing linear systems, control theory, and circuit analysis.","Converts a time-domain function into the complex frequency domain, transforming differential equations into algebraic equations. It is the primary tool for analyzing linear systems, control theory, and circuit analysis.","The Laplace transform is defined as an integral transform. Its key property for ODEs: L{f'(t)} = sF(s) − f(0). This converts derivatives into multiplication by s. For a linear ODE a_n y^(n) + ... + a_0 y = g(t), applying L to both sides gives a polynomial in s times Y(s) = G(s) + initial condition terms, making the solution algebraic.","Solve y' + 3y = 6, y(0) = 2. Applying L: sY(s) − 2 + 3Y(s) = 6/s. Y(s)(s+3) = 6/s + 2. Y(s) = 6/(s(s+3)) + 2/(s+3) = 2/s − 2/(s+3) + 2/(s+3) = 2/s. Inverse: y(t) = 2. (Checking: y' = 0, 0 + 3(2) = 6.)","The Laplace transform requires f(t) to grow no faster than exponentially (f(t) = O(e^{ct}) for some c). Functions like f(t) = e^{t²} grow too fast — the integral diverges for all s. Additionally, nonlinear ODEs cannot be solved by Laplace transform because L{f(y)} ≠ F(Y(s)) in general.","Laplace, Théorie analytique des probabilités (1812)",consensus,Linear regime / small perturbations; See negation section for detailed failure modes
EQ-0081,Mathematics,General,Stokes' Theorem,∮_C F·dr = ∬_S (∇×F)·dS,Deterministic dynamical system,The line integral of a vector field around a closed curve equals the surface integral of its curl over any surface bounded by that curve. It generalizes Green's theorem to 3D and unifies all fundamental theorems of vector calculus under the framework of differential forms.,The line integral of a vector field around a closed curve equals the surface integral of its curl over any surface bounded by that curve. It generalizes Green's theorem to 3D and unifies all fundamental theorems of vector calculus under the framework of differential forms.,"For a smooth surface S bounded by curve C with unit normal n: parametrize S as r(u,v). The curl theorem follows from applying Green's theorem in the parameter plane and transforming back. The key identity is that the exterior derivative satisfies d² = 0 (Poincaré lemma), from which Stokes' theorem follows as ∫_{∂M} ω = ∫_M dω for a differential form ω on manifold M.","F = (−y, x, 0). ∇×F = (0, 0, 2). For the unit circle C in the xy-plane: ∮_C F·dr = ∮ (−y dx + x dy). Parametrize: x = cosθ, y = sinθ: integral = ∫₀^{2π} (sin²θ + cos²θ)dθ = 2π. Surface integral: ∬ 2 dA = 2π(1)² = 2π. Both give 2π.","Stokes' theorem requires the surface to be orientable and the field to be smooth. On a Möbius strip (non-orientable surface), the theorem does not apply — there is no consistent choice of normal direction. For fields with singularities (e.g., F = (−y/(x²+y²), x/(x²+y²), 0) with a singularity at the origin), the line integral around the origin gives 2π but the curl is zero everywhere else, demonstrating the importance of the smoothness requirement.",Stokes (1854); Cartan (general form),consensus,See negation section for detailed failure modes
EQ-0082,Engineering,General,Shannon Channel Capacity,C = B log₂(1 + S/N),Optimization / variational principle,The maximum rate at which information can be reliably transmitted over a communication channel with bandwidth B and signal-to-noise ratio S/N. It sets the absolute physical limit on data rates and drove the design of modern communications from Wi-Fi to 5G.,The maximum rate at which information can be reliably transmitted over a communication channel with bandwidth B and signal-to-noise ratio S/N. It sets the absolute physical limit on data rates and drove the design of modern communications from Wi-Fi to 5G.,"Shannon showed that for a Gaussian channel, the mutual information I(X;Y) is maximized when the input X is Gaussian. For bandwidth B, the channel carries 2B independent samples per second (Nyquist). Each sample's information capacity is ½ log₂(1 + S/N) bits, giving C = B log₂(1 + S/N). The noisy channel coding theorem proves that rates below C are achievable with arbitrarily low error probability using sufficiently long codes.","Standard Wi-Fi channel: B = 20 MHz, S/N = 100 (20 dB). C = 20×10⁶ × log₂(101) = 20×10⁶ × 6.66 = 133 Mbps theoretical max. Real Wi-Fi achieves ~65–70% of Shannon capacity due to protocol overhead.","Shannon capacity cannot be exceeded by any coding scheme — it is a mathematical upper bound. Attempting to transmit above C inevitably introduces errors. Before Shannon, engineers assumed there was a fundamental tradeoff between rate and error probability; Shannon proved that error-free communication at rates up to C is possible (but not above). Early systems operated far below C; modern LDPC and turbo codes approach within 0.1 dB.","Shannon, Bell Syst. Tech. J. (1948)",consensus,See negation section for detailed failure modes
EQ-0083,Engineering,General,Euler's Buckling Formula,P_cr = π²EI/(KL)²,Deterministic dynamical system,"Predicts the critical axial load at which a slender column buckles elastically. Below P_cr, the column compresses uniformly; at P_cr, it suddenly bows sideways.","Predicts the critical axial load at which a slender column buckles elastically. Below P_cr, the column compresses uniformly; at P_cr, it suddenly bows sideways. It governs the design of structural columns, aircraft fuselage frames, and bridge members.","Consider a pin-ended column of length L with axial load P. The lateral displacement y(x) satisfies the beam equation: EI d²y/dx² = −Py. This is a second-order ODE: y'' + (P/EI)y = 0 with solution y = A sin(√(P/EI) x). Boundary conditions y(0) = y(L) = 0 require √(P/EI) L = nπ. The lowest (n=1) critical load is P_cr = π²EI/L². For other end conditions, the effective length factor K modifies this to P_cr = π²EI/(KL)².","Steel column (E = 200 GPa), W150×22 section (I = 12.1×10⁻⁶ m⁴), L = 4 m, pin-ended (K = 1). P_cr = π²(200×10⁹)(12.1×10⁻⁶)/(16) = 1,492 kN. For fixed-fixed (K = 0.5): P_cr = 1,492/(0.25) = 5,968 kN — 4× higher.","Euler's formula assumes: (1) perfectly straight column, (2) load perfectly axial, (3) elastic material. Failures: (i) Real columns have initial imperfections — even 1/1000 L eccentricity can reduce actual buckling load by 20–40% (Perry–Robertson formula). (ii) For short, stocky columns (slenderness ratio KL/r < ~40 for steel), the material yields before elastic buckling occurs, and the Johnson parabola or Engesser formula must be used instead.","Euler, Methodus inveniendi (1744)",consensus,See negation section for detailed failure modes
EQ-0084,Engineering,General,PID Controller,u(t) = K_p e + K_i ∫e dt + K_d de/dt,Optimization / variational principle,"The proportional–integral–derivative controller is the most widely used feedback control law in industry. The proportional term reacts to current error, the integral term eliminates steady-state error, and the derivative term damps oscillations.","The proportional–integral–derivative controller is the most widely used feedback control law in industry. The proportional term reacts to current error, the integral term eliminates steady-state error, and the derivative term damps oscillations. Over 95% of industrial control loops use PID.",Derived from control theory requirements: (1) Proportional: output proportional to error e(t) = setpoint − process variable. (2) Integral: accumulated error over time eliminates steady-state offset (since ∫e dt grows until e → 0). (3) Derivative: rate of change of error provides damping (anticipates future error). In the Laplace domain: U(s) = (K_p + K_i/s + K_ds)E(s). The transfer function creates zeros that improve closed-loop stability.,"Temperature control: setpoint 100°C, current 80°C, K_p = 5, K_i = 0.1, K_d = 2. Error e = 20°C, ∫e dt ≈ 200°C·s (accumulated over 10s), de/dt = +2°C/s (temperature rising). u = 5(20) + 0.1(200) + 2(2) = 100 + 20 + 4 = 124 units of heater power.","PID fails for: (1) Processes with long dead time — if the delay is comparable to the process time constant, PID oscillates or becomes unstable; Smith predictors or model predictive control (MPC) are needed. (2) Nonlinear processes (pH control, exothermic reactors) where gains vary with operating point. (3) Multivariable (MIMO) systems where coupled variables require matrix-based controllers.","Minorsky, J. Am. Soc. Nav. Eng. (1922)",consensus,"(1) Processes with long dead time — if the delay is comparable to the process time constant, PID oscillates or becomes unstable; Smith predictors or model predictive control (MPC) are needed."
EQ-0085,Engineering,General,Beam Bending (Euler–Bernoulli),M/I = σ/y = E/R,Statistical model,"Relates the bending moment in a beam to the stress distribution, cross-section geometry, and curvature. It is the most used equation in structural engineering, enabling the design of beams, floors, bridges, and aircraft wings.","Relates the bending moment in a beam to the stress distribution, cross-section geometry, and curvature. It is the most used equation in structural engineering, enabling the design of beams, floors, bridges, and aircraft wings.","Assumptions: plane sections remain plane (Bernoulli hypothesis) and material is linearly elastic. A fiber at distance y from the neutral axis has strain ε = y/R (from geometry of bending). Stress: σ = Eε = Ey/R. The internal moment: M = ∫ σ y dA = (E/R)∫ y² dA = EI/R, where I = ∫ y² dA is the second moment of area. Therefore M/I = E/R and σ = My/I.","Simply supported beam, span 6 m, uniform load 10 kN/m. Max moment: M = wL²/8 = 10(36)/8 = 45 kN·m. Using W200×36 steel section (I = 34.4×10⁻⁶ m⁴, depth 201 mm): max stress σ = My/I = 45000(0.1005)/(34.4×10⁻⁶) = 131 MPa. Yield stress of A36 steel = 250 MPa, so safety factor = 250/131 = 1.91.","Euler–Bernoulli fails for: (1) Deep beams (depth/span > 0.2) where shear deformation is significant — Timoshenko beam theory adds shear correction. (2) Composite beams (reinforced concrete, FRP) where E varies across the section. (3) Large deflections where geometric nonlinearity invalidates small-angle assumptions — the exact elastica equation must be solved.",Euler (1744); Bernoulli (1750),consensus,(1) Deep beams (depth/span > 0.; es small-angle assumptions — the exact elastica equation must be solved.
EQ-0086,Engineering,General,Kirchhoff's Voltage Law,ΣV_loop = 0,Conservation law,"The sum of all voltage drops and rises around any closed loop in a circuit equals zero. This is a consequence of energy conservation (or equivalently, the electrostatic field being conservative) and is one of two fundamental circuit analysis tools.","The sum of all voltage drops and rises around any closed loop in a circuit equals zero. This is a consequence of energy conservation (or equivalently, the electrostatic field being conservative) and is one of two fundamental circuit analysis tools.","For a conservative electric field, ∮ E·dl = 0 around any closed path. In a circuit, this becomes Σ V_k = 0 around any loop. Each element (resistor, source, etc.) contributes a voltage rise or drop. The sum must be zero because a charge returning to its starting point must have the same potential energy.","Loop with V_source = 12V, R₁ = 4Ω, R₂ = 8Ω in series. KVL: 12 − 4I − 8I = 0. I = 12/12 = 1A. V_R1 = 4V, V_R2 = 8V. Check: 12 − 4 − 8 = 0.","KVL breaks down when: (1) Time-varying magnetic flux links the loop — Faraday's law adds an EMF term: ΣV = −dΦ_B/dt. In a transformer, the induced EMF violates naive KVL. (2) At high frequencies (GHz circuits), distributed-element effects mean 'lumped' voltage drops are not well-defined; transmission-line theory replaces KVL. (3) In superconducting loops, flux quantization imposes Φ = nΦ₀, modifying KVL at the quantum level.","Kirchhoff, Ann. Phys. (1845)",consensus,(1) Time-varying magnetic flux links the loop — Faraday's law adds an EMF term: ΣV = −dΦ_B/dt.
EQ-0087,Engineering,General,Nyquist–Shannon Sampling Theorem,f_s ≥ 2f_max,Statistical model,"To perfectly reconstruct a bandlimited signal from discrete samples, the sampling rate must be at least twice the highest frequency present. This is the theoretical foundation of all digital audio, video, and communication systems.","To perfectly reconstruct a bandlimited signal from discrete samples, the sampling rate must be at least twice the highest frequency present. This is the theoretical foundation of all digital audio, video, and communication systems.","A bandlimited signal (F(ω) = 0 for |ω| > 2πf_max) sampled at rate f_s produces a spectrum that is periodically replicated at intervals of f_s. If f_s ≥ 2f_max, the copies don't overlap and the original spectrum can be recovered by an ideal low-pass filter. If f_s < 2f_max, the copies overlap (aliasing) and reconstruction is impossible.","CD audio: f_max = 20 kHz (human hearing limit). Minimum f_s = 40 kHz. CDs use f_s = 44.1 kHz (10% margin). Each sample is 16 bits, giving bit rate = 44,100 × 16 × 2 = 1,411,200 bps = 1.41 Mbps for stereo.","Aliasing example: sampling a 15 kHz sine wave at f_s = 20 kHz. The aliased frequency is |f_s − f| = 5 kHz — you hear a completely different tone. In digital cameras, undersampling of fine patterns creates moiré artifacts. Anti-aliasing filters (analog low-pass before sampling) are essential but imperfect.","Shannon, Proc. IRE (1949); Nyquist (1928)",consensus,Idealized conditions; See negation section for detailed failure modes
EQ-0088,Engineering,General,Fourier's Law of Heat Conduction,q = −k∇T,Conservation law,"Heat flux is proportional to the negative temperature gradient. This is the constitutive relation that, combined with energy conservation, gives the heat equation.","Heat flux is proportional to the negative temperature gradient. This is the constitutive relation that, combined with energy conservation, gives the heat equation. It governs thermal design of everything from buildings to microprocessors.","Fourier postulated this as a constitutive law based on experimental observation. Microscopically, in a solid, phonons (lattice vibrations) carry energy from hot to cold regions. The net energy flux is proportional to the mean free path times the energy gradient: q = −(⅓)CvλdT/dx, where C = heat capacity, v = phonon velocity, λ = mean free path, giving k = Cvλ/3.","Heat flow through a window: glass (k = 1.0 W/(m·K)), thickness = 6 mm, ΔT = 20°C (inside vs outside). q = kΔT/L = (1.0)(20)/(0.006) = 3,333 W/m². For a 2 m² window: P = 6,667 W. Double glazing (two panes + air gap with k_eff ≈ 0.05) reduces this by ~20×.","Fourier's law fails in: (1) Ballistic heat transport in nanoscale devices — when the device size is smaller than the phonon mean free path (~100 nm in silicon), heat conduction is non-diffusive and the Boltzmann transport equation is needed. (2) Ultrafast heating (femtosecond laser pulses) where the electron and lattice temperatures differ (two-temperature model). (3) Low-dimensional systems (carbon nanotubes) where thermal conductivity diverges with length.","Fourier, Théorie analytique de la chaleur (1822)",consensus,See negation section for detailed failure modes
EQ-0089,Engineering,General,Newton's Law of Cooling,dT/dt = −h(T − T_env),Conservation law,"The rate of heat loss is proportional to the temperature difference between the object and its environment. This is a linearization of radiative and convective cooling, valid when the temperature difference is modest.","The rate of heat loss is proportional to the temperature difference between the object and its environment. This is a linearization of radiative and convective cooling, valid when the temperature difference is modest.","Convective heat transfer from a surface: Q̇ = hA(T − T_env), where h is the heat transfer coefficient and A is surface area. Energy balance for an object of mass m and specific heat c: mc(dT/dt) = −hA(T − T_env). Defining h_eff = hA/(mc): dT/dt = −h_eff(T − T_env). Solution: T(t) = T_env + (T₀ − T_env)e^(−h_eff t).","Coffee at 90°C in a 20°C room, h_eff = 0.02 min⁻¹. After 10 min: T = 20 + 70e^(−0.2) = 20 + 70(0.819) = 77.3°C. After 30 min: T = 20 + 70e^(−0.6) = 58.4°C. Time to reach 50°C: t = −ln(30/70)/0.02 = 42.5 min.","The law fails when: (1) Temperature differences are large — radiative cooling goes as T⁴, not T, so a 1000°C object in a 20°C room cools much faster than the linear model predicts. (2) The 'h' changes with temperature (forced convection depends on fluid properties that are temperature-dependent). (3) Phase changes occur (ice melting) where temperature remains constant despite heat flow.","Newton, Phil. Trans. R. Soc. (1701)",consensus,"(1) Temperature differences are large — radiative cooling goes as T⁴, not T, so a 1000°C object in a 20°C room cools much faster than the linear model predicts."
EQ-0090,Computer Science,General,Shannon Entropy,H = −Σ p_i log₂(p_i),Statistical model,Measures the average information content (or uncertainty) of a random variable. Maximum entropy occurs when all outcomes are equally likely.,"Measures the average information content (or uncertainty) of a random variable. Maximum entropy occurs when all outcomes are equally likely. It is the theoretical minimum average number of bits needed to encode a message and is the foundation of information theory, data compression, and machine learning.","Shannon required an information measure H(p₁,...,p_n) satisfying: (1) continuity, (2) monotonically increasing in n for uniform distributions, (3) additivity for independent events: H(p₁q₁,...) = H(p) + H(q). The unique function (up to a constant) satisfying all three is H = −K Σ p_i log p_i. Choosing K = 1 and base-2 logarithm gives H in bits.","Fair coin: H = −[½ log₂(½) + ½ log₂(½)] = −[2 × (−1/2)] = 1 bit. Biased coin (p=0.9): H = −[0.9 log₂(0.9) + 0.1 log₂(0.1)] = −[0.9(−0.152) + 0.1(−3.322)] = 0.469 bits. The biased coin is more predictable, so less information per flip.","Shannon entropy assumes: (1) known probability distribution — if the true distribution is p but you encode assuming distribution q, you use H(p) + D_KL(p||q) bits on average (cross-entropy), which always exceeds H(p). (2) Memoryless source — for sources with memory (English text), conditional entropy and Markov models give tighter bounds. English has H ≈ 1.0–1.5 bits/letter vs H = 4.7 bits/letter for uniform 26-letter alphabet.","Shannon, Bell Syst. Tech. J. (1948)",consensus,See negation section for detailed failure modes
